id;sector;Amplitude;Eta_e;LinearTrend;Mean;Meanvariance;MedianAbsDev;PercentAmplitude;PeriodLS;Period_fit;Psi_CS;Psi_eta;Std;Class
001152358;22;0.03836703300476074;2.7816334297205114;8.398356355140324e-06;0.9998957757415667;0.019490386076173875;0.013162493705749512;0.06749573736417423;9.058474541821103e-05;1.0;0.013115503044619094;2.0138301865767;0.019488354705138506;Noisy
004289780;06;0.003983557224273626;0.02799824972813219;-2.5744446174770793e-06;1.0003689476687505;0.002671682672938756;0.0024114251136779785;0.006698727607727051;0.8537925696079103;0.0;0.23023659179409148;0.05026225817995958;0.002672668384032578;Modul
004289780;32;0.004005074501037598;0.026885270206679118;3.039774094749695e-06;1.000378345549315;0.002701837576164129;0.0024412572383879505;0.006884902510496899;0.8548414951033775;0.0;0.23303220440872152;0.03731424167628231;0.0027028598043860423;Modul
004373827;20;0.06586495041847229;2.62746669830803;-1.699160438071112e-05;0.9998507163212345;0.03353170009568404;0.022579848766326904;0.11711508838171418;4.3415010401025714e-05;1.0;0.019475944714441133;1.9832051424384596;0.0335266943601385;Noisy
004373827;44;0.07064905762672424;2.481889312487375;3.691981088823679e-05;1.0000681712700459;0.03581030788473966;0.02400606870651234;0.12323340623614361;0.00010610698259703293;0.9999999987264508;0.015541602997318294;2.024841203568121;0.0358127491189089;Noisy
004373827;45;0.062061429023742676;2.5247822059038776;-1.5457002266236997e-05;1.0000970550018744;0.03170599204421563;0.02157086133956898;0.1090695280354442;3.9684759683387616e-05;0.9999966648347552;0.01632899450450394;1.9811433770807316;0.031709069269332917;Noisy
004373827;46;0.06072522699832916;2.5042606262070812;2.4515401419583085e-06;1.0004402684482254;0.031050803170253855;0.0208246111869812;0.10845255785093681;3.980672617341735e-05;1.0;0.013412720500996428;1.9951210445573246;0.031064473859181777;Noisy
004373827;47;0.0687398761510849;2.602666352694284;2.811776966229814e-06;0.999549961624011;0.03504006865676886;0.023848235607147217;0.12202672646279833;3.6277522357176575e-05;1.0;0.014798829866460406;1.9781796314977935;0.03502429928117603;Noisy
004373827;60;0.07100142538547516;3.407247922545635;-6.563091436933331e-05;1.0001951993257843;0.03598825734766635;0.024467021226882935;0.12562862594017282;0.00010683849051696257;0.0;0.023045242318657504;1.9942814950866905;0.03599528223123676;Noisy
004491131;20;0.06808042526245117;0.8578990321069362;-6.655136659081639e-07;1.0017760351485583;0.03716795961942023;0.02831915020942688;0.12521024080909854;0.23025710685135964;0.0;0.18754851359624003;0.6651652088235231;0.03723397122210451;Modul
004491131;44;0.062297895550727844;0.7812907426563787;-1.159844838219032e-06;1.0021201701482625;0.034044112089863306;0.026250392198562622;0.10788673978484165;0.23027911108776958;0.0;0.1880428256101029;0.6383025318952442;0.034116291400040334;Modul
004491131;45;0.06082364916801436;0.8466748095256503;3.452182539507382e-05;1.0018184238960879;0.03329847248777777;0.025600165128707775;0.10734818617710508;0.2303612654708853;0.0;0.1865180798517883;0.6717102994955456;0.033359023225852776;Modul
004491131;46;0.060966476798057556;0.719804101840121;7.748207598502348e-06;1.0019730333898866;0.033910778292888716;0.02658703923225403;0.11698463907792088;0.23037669417986167;0.0;0.19327295086468468;0.5982183761607037;0.03397768539073763;Modul
004491131;60;0.06417624652385712;1.16393126890734;-3.8741444156189645e-05;1.0014015986659484;0.03450359562443711;0.026343852281570435;0.10949483840152117;0.23033737559605574;0.0;0.19148746867168362;0.7148536702061212;0.034551955818034746;Modul
004491131;71;0.06371346116065979;0.922238065648257;1.5474121276124554e-05;1.0016761594484762;0.03476713780758421;0.026405513286590687;0.11575096269244513;0.23010142151086485;0.0;0.18812559146929259;0.724131592860982;0.034825413074116865;Modul
004491131;72;0.06287750601768494;0.9800063882228471;1.0609132665569532e-05;1.000934439025788;0.033944739860674006;0.02534025907516474;0.11302316489561996;0.23017421538125707;0.0;0.17746199270714966;0.8364421977207008;0.03397645915032004;Modul
009346617;21;0.01309734582901001;2.349470027323137;1.125768217585099e-05;0.9999560412439533;0.006734551507482912;0.004613101482391246;0.023544727722818865;0.07629057909915175;0.0;0.052934267325016396;1.8772074519754247;0.00673425546497611;Noisy
009346617;48;0.01352626085281372;2.7462109196845925;1.3838192550239534e-05;0.9999773096338263;0.00687923124566396;0.004662454128265381;0.023513343818146466;0.07628063565262168;0.0;0.047242870562622066;1.9357776924868075;0.006879075153388002;Noisy
009375378;21;0.04883939027786255;2.563126333426351;5.302035167166023e-06;0.9999240764254518;0.024982316223595123;0.017003685235977284;0.08671268703766492;1.9386474321003917;0.0;0.02031637775950184;1.9864527554891256;0.024980419476846934;Noisy
009375378;48;0.04976356029510498;2.838276226723033;-1.366631055742283e-05;0.9998288720495289;0.02533101716222077;0.01703020930290222;0.08839914466140106;1.957904627821178;0.0;0.0429311766086901;1.9602837992638285;0.02532668231717045;Noisy
009376301;21;0.02018338441848755;2.5533860572619353;-6.586224254227989e-06;1.0001069079821006;0.01030271055124321;0.006949722766876443;0.03598594417893061;0.0003473383553139132;0.9999999998474178;0.01543343741921568;1.9812913874936078;0.01030381199323841;Noisy
009376301;48;0.018824130296707098;2.9525913679733073;-2.3277674123217564e-06;1.000091390730916;0.009682073737236995;0.006671398878097534;0.03350458570247412;0.0006946863068892461;0.6644311260276058;0.019396568474069696;1.961882581546342;0.009682958589032623;Noisy
010510382;18;0.0031172186136245728;0.006158469202895615;7.42959974548661e-06;1.0000756680704264;0.0015540105096397883;0.0009911060333251953;0.004221916198730469;4.789345428870197e-05;0.0;0.14352910046441064;1.2250890774003222;0.001554128098616475;Modul
