id;sector;Amplitude;Eta_e;LinearTrend;Mean;Meanvariance;MedianAbsDev;PercentAmplitude;PeriodLS;Period_fit;Psi_CS;Psi_eta;Std;Class
001152358;22;0.03836703300476074;2.7816334297205114;8.398356355140324e-06;0.9998957757415667;0.019490386076173875;0.013162493705749512;0.06749573736417423;9.058474541821103e-05;1.0;0.013115503044619094;2.0138301865767;0.019488354705138506;
004289780;06;0.003983557224273626;0.02799824972813219;-2.5744446174770793e-06;1.0003689476687505;0.002671682672938756;0.0024114251136779785;0.006698727607727051;0.8537925696079103;0.0;0.23023659179409148;0.05026225817995958;0.002672668384032578;
004289780;32;0.004005074501037598;0.026885270206679118;3.039774094749695e-06;1.000378345549315;0.002701837576164129;0.0024412572383879505;0.006884902510496899;0.8548414951033775;0.0;0.23303220440872152;0.03731424167628231;0.0027028598043860423;
004373827;20;0.06586495041847229;2.62746669830803;-1.699160438071112e-05;0.9998507163212345;0.03353170009568404;0.022579848766326904;0.11711508838171418;4.3415010401025714e-05;1.0;0.019475944714441133;1.9832051424384596;0.0335266943601385;
004373827;44;0.07064905762672424;2.481889312487375;3.691981088823679e-05;1.0000681712700459;0.03581030788473966;0.02400606870651234;0.12323340623614361;0.00010610698259703293;0.9999999987264508;0.015541602997318294;2.024841203568121;0.0358127491189089;
004373827;45;0.062061429023742676;2.5247822059038776;-1.5457002266236997e-05;1.0000970550018744;0.03170599204421563;0.02157086133956898;0.1090695280354442;3.9684759683387616e-05;0.9999966648347552;0.01632899450450394;1.9811433770807316;0.031709069269332917;
004373827;46;0.06072522699832916;2.5042606262070812;2.4515401419583085e-06;1.0004402684482254;0.031050803170253855;0.0208246111869812;0.10845255785093681;3.980672617341735e-05;1.0;0.013412720500996428;1.9951210445573246;0.031064473859181777;
004373827;47;0.0687398761510849;2.602666352694284;2.811776966229814e-06;0.999549961624011;0.03504006865676886;0.023848235607147217;0.12202672646279833;3.6277522357176575e-05;1.0;0.014798829866460406;1.9781796314977935;0.03502429928117603;
004373827;60;0.07100142538547516;3.407247922545635;-6.563091436933331e-05;1.0001951993257843;0.03598825734766635;0.024467021226882935;0.12562862594017282;0.00010683849051696257;0.0;0.023045242318657504;1.9942814950866905;0.03599528223123676;
004491131;20;0.06808042526245117;0.8578990321069362;-6.655136659081639e-07;1.0017760351485583;0.03716795961942023;0.02831915020942688;0.12521024080909854;0.23025710685135964;0.0;0.18754851359624003;0.6651652088235231;0.03723397122210451;
